,_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,tier,date_delay
323,324,Point Cook,"Marketplace Fresh Fruit and Vegetable Market, Stockland Shopping Centre",5 Main Street & Murnong Street,VIC,3030,2021-05-26,26/05/2021,3:30pm - 5:30pm,Case attended venue,2021-05-31,31/05/2021,,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:30:00,17:30:00,1,5
324,325,Sunshine,Co Do Vietnamese Restaurant,207 Hampshire Road,VIC,3020,2021-05-27,27/05/2021,11:00am - 12:00pm,Case attended venue,2021-05-31,31/05/2021,,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:00:00,12:00:00,1,4
325,326,Deer Park,Male Staff Bathrooms Brimbank Shopping Centre,"Level 1, Neale Rd",VIC,3023,2021-05-28,28/05/2021,8:45am - 6:30pm,Case attended venue,2021-05-31,31/05/2021,,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:45:00,18:30:00,1,3
326,327,Craigieburn,Jamaica Blue Cafe Craigieburn Central,350 Craigieburn Road        ,VIC,3064,2021-05-23,23/05/2021,10:00am - 11:30am,Case attended venue,2021-05-31,31/05/2021,,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,11:30:00,1,8
327,328,Craigieburn,Proud Poppy Clothing (reception only),29A Yellowbox Drive,VIC,3064,2021-05-26,26/05/2021,9:45am - 10:30am,Case attended venue,2021-05-31,31/05/2021,,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:45:00,10:30:00,2,5
328,329,Public Transport,PTV Bus Number 411,Central Square Shopping Centre/Merton Street Altona Meadows to Laverton Station/Railway Ave Laverton,VIC,,2021-05-27,27/05/2021,10:23am - 10:27am,"Case travelled on public transport
",2021-05-31,31/05/2021,10:02:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:23:00,10:27:00,1,4
329,330,Public Transport,Metro Train - Werribee Line,Laverton Station to Footscray Station,VIC,,2021-05-27,27/05/2021,10:30am - 10:45am,Case travelled on public transport,2021-05-31,31/05/2021,10:02:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:30:00,10:45:00,2,4
330,331,Public Transport,Metro Train - Sunbury Line,Footscray Station to Sunshine Station,VIC,,2021-05-27,27/05/2021,10:53am - 11:03am,Case travelled on public transport,2021-05-31,31/05/2021,10:02:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:53:00,11:03:00,2,4
331,332,Public Transport,PTV Bus Number 420,Sunshine Station/Dickson Street to Brimbank Shopping Centre/Station Road Deer Park,VIC,,2021-05-27,27/05/2021,11:50am - 12:14pm,"Case travelled on public transport
",2021-05-31,31/05/2021,10:02:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:50:00,12:14:00,1,4
332,333,Laverton,Laverton Railway Station,Railway Avenue	,VIC,3028,2021-05-27,27/05/2021,10:25am - 10:30am,Case attended venue,2021-05-31,31/05/2021,10:02:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",10:25:00,10:30:00,3,4
