,_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,tier,date_delay
13,14,Epping,Coles Epping,Shop Number Q002. Pacific Epping Cooper Street & High street,VIC,3076,2021-05-20,20/05/2021,6:45pm - 7:35pm,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:45:00,19:35:00,1,6
14,15,Epping,Epping North Shopping Centre,2 Lyndarum Drive,VIC,3076,2021-05-22,22/05/2021,4:45pm - 5:50pm,Case attended venue,2021-05-24,24/05/2021,20:31:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:45:00,17:50:00,2,2
15,16,Epping,House and Party (store),2 Lyndarum Drive,VIC,3076,2021-05-22,22/05/2021,5:15pm - 5:50pm,Case attended venue,2021-05-24,24/05/2021,20:47:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:15:00,17:50:00,2,2
16,17,Epping,JMD Grocers & Sweets ,768 High Street,VIC,3076,2021-05-17,17/05/2021,10:30am - 1:00pm,Case attended venue,2021-05-24,24/05/2021,16:30:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:30:00,13:00:00,1,7
17,18,Epping,Nando's Epping (Dalton Rd),"Shop 17 Dalton Village, 351-371 Dalton Road",VIC,3076,2021-05-19,19/05/2021,8:30pm - 9:20pm,Case attended venue,2021-05-24,24/05/2021,21:35:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,20:30:00,21:20:00,1,5
18,19,Epping,The Furniture Trader,102-120 Cooper Street,VIC,3076,2021-05-18,18/05/2021,12:00pm - 12:50pm,Case attended venue,2021-05-24,24/05/2021,16:30:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,12:50:00,1,6
19,20,Epping,"Urban Diner Food Court, Pacific Epping Shopping Centre",571-583 High Street,VIC,3076,2021-05-23,23/05/2021,1:15pm - 2:30pm,Case attended Urban Diner Food Court - inside location (not outside dining precinct with individual restaurants) ,2021-05-24,24/05/2021,21:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:15:00,14:30:00,2,1
20,21,Epping,Woolworths Epping,Shop Number Q003. Pacific Epping Cooper Street & High street,VIC,3076,2021-05-20,20/05/2021,6:25pm - 7:15pm,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:25:00,19:15:00,1,6
21,22,Epping,Woolworths Epping North,"Shop 13, 2 Lyndarum Drive",VIC,3076,2021-05-22,22/05/2021,4:45pm - 5:45pm,Case attended venue,2021-05-24,24/05/2021,16:19:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:45:00,17:45:00,1,2
22,23,Fitzroy North,Secco and Co,414 Nicholson Street,VIC,3068,2021-05-22,22/05/2021,7:35pm - 8:55pm,Case attended party,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:35:00,20:55:00,1,4
23,24,Lalor,Deep Indian Supermarket,3/494 High Street,VIC,3075,2021-05-20,20/05/2021,7:00pm - 8:30pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",19:00:00,20:30:00,2,5
24,25,Lalor,Everfresh Fruit Market,346 Station Street,VIC,3075,2021-05-19,19/05/2021,12:00pm - 1:00pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:00:00,2,6
25,26,Lalor,Fruits of Lalor,328 Station Street,VIC,3075,2021-05-19,19/05/2021,12:00pm - 1:00pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:00:00,2,6
26,27,Lalor,No. 1 Fruit Market,37 May Road,VIC,3075,2021-05-19,19/05/2021,12:00pm - 1:00pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:00:00,2,6
27,28,Maribyrnong,"Highpoint Shopping Centre, all other areas on Levels 2 and 3 excluding specific shops listed as Tier 1 sites","Levels 2 & 3, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:15pm - 6:35pm,"Case attended venue. If you attended one of the shops listed as Tier 1 (Lush Cosmetics, Toyworld, Smiggle, Kidstuff, Ishka), see specific shop instructions",2021-05-24,24/05/2021,12:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:15:00,18:35:00,2,4
28,29,Maribyrnong,"Ishka, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:45pm - 6:20pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,18:20:00,1,4
29,30,Maribyrnong,"Kidstuff, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:20pm - 5:55pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:20:00,17:55:00,1,4
30,31,Maribyrnong,"Lush Cosmetics, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,6:05pm - 6:35pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:05:00,18:35:00,1,4
31,32,Maribyrnong,"Smiggle, Highpoint Shopping Centre","Level 3, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:55pm - 6:30pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:55:00,18:30:00,1,4
32,33,Maribyrnong,"Toyworld, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:30pm - 6:20pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:30:00,18:20:00,1,4
33,34,Melbourne,Bamboo House,47 Little Bourke Street,VIC,3000,2021-05-21,21/05/2021,11:00am - 11:50am,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:00:00,11:50:00,1,3
34,35,Mill Park,Bunnings Warehouse,761 Plenty Road,VIC,3082,2021-05-20,20/05/2021,4:00pm - 6:30pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:00:00,18:30:00,2,5
35,36,Port Melbourne,Bay 101 Cafe,7/101 Bay Street,VIC,3207,2021-05-24,24/05/2021,7:30am - 8:20am,Case sat inside venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:30:00,08:20:00,1,2
36,37,Port Melbourne,Port Park Cafe,7/484 Graham St,VIC,3207,2021-05-24,24/05/2021,12:30pm - 1:00pm,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:30:00,13:00:00,1,2
37,38,Port Melbourne,"The Local, Port Melbourne",22-24 Bay Street,VIC,3207,2021-05-21,21/05/2021,1:40pm - 3:30pm,Case dined inside venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:40:00,15:30:00,1,5
38,39,Prahran ,Somewhere Bar,181 Chapel Street,VIC,3181,2021-05-22,22/05/2021,10:30pm - 1:00am,Case attended venue,2021-05-26,26/05/2021,08:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,22:30:00,01:00:00,1,4
39,40,Prahran ,"Three Monkeys
",210 Chapel Street,VIC,3181,2021-05-22,22/05/2021,9:10pm - 11:00pm,Case attended venue,2021-05-26,26/05/2021,08:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,21:10:00,23:00:00,1,4
40,41,Prahran ,"Three Monkeys
",210 Chapel Street,VIC,3181,2021-05-23,23/05/2021,12:30am - 2:00am,Case attended venue,2021-05-26,26/05/2021,08:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:30:00,02:00:00,1,3
41,42,Preston,Adams Reserve Playground,Milton Crescent,VIC,3072,2021-05-23,23/05/2021,2:15pm - 3:45pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:15:00,15:45:00,2,1
42,43,Preston,ALDI Preston South,15 Dundas Street,VIC,3072,2021-05-23,23/05/2021,3:45pm - 4:25pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:45:00,16:25:00,2,1
43,44,Reservoir,B.T. Connor Reserve,200 Broadhurst Avenue,VIC,3073,2021-05-21,21/05/2021,8:00pm - 11:30pm,Case attended venue,2021-05-24,24/05/2021,20:32:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",20:00:00,23:30:00,2,3
44,45,Reservoir,P & C Indian Grocery & Convenience Store ,246 Broadway,VIC,3073,2021-05-22,22/05/2021,6:00pm - 7:00pm,Case attended venue,2021-05-22,22/05/2021,23:32:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:00:00,19:00:00,2,0
45,46,Reservoir,Shell Coles Express Reservoir,192-202 Broadway & Whitelaw Street,VIC,3073,2021-05-18,18/05/2021,3:15pm - 4:15pm,Case attended venue,2021-05-18,18/05/2021,20:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:15:00,16:15:00,1,0
46,47,Richmond,"Melbourne Cricket Ground - Zone 4, Level 1",Brunton Avenue,VIC,3002,2021-05-23,23/05/2021,2:50pm - 6:30pm,Case attended venue,2021-05-26,26/05/2021,09:41:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:50:00,18:30:00,2,3
47,48,Richmond,"Melbourne Cricket Ground - All of the Stadium, other than Zone 4, Level 1 ",Brunton Avenue,VIC,3002,2021-05-23,23/05/2021,2:50pm - 6:30pm,Case attended venue,2021-05-26,26/05/2021,09:41:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",14:50:00,18:30:00,3,3
48,49,South Yarra,Circus Bar,199 Commercial Road,VIC,3181,2021-05-23,23/05/2021,1:30am - 4:15am,Case attended venue,2021-05-26,26/05/2021,08:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,01:30:00,04:15:00,1,3
49,50,Thomastown,ACTROL (Retail Store- refrigerator and airconditioning parts),13-17 Brand Drive,VIC,3074,2021-05-17,17/05/2021,12:00pm - 1:30pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:30:00,2,8
50,51,Thomastown,White Line Automotive,2/28 Lipton Drive,VIC,3074,2021-05-20,20/05/2021,12:00pm - 1:30pm,Case attended venue,2021-05-24,24/05/2021,16:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:30:00,2,4
51,52,Thornbury,Little Tienda,410 Station Street,VIC,3071,2021-05-22,22/05/2021,7:45am - 8:20am,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:45:00,08:20:00,1,4
52,53,Reservoir,Doctors on Broadway,210A Broadway,VIC,3073,2021-05-18,18/05/2021,2:00pm - 3:45pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:00:00,15:45:00,1,8
53,54,Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-20,20/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,6
54,55,Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-21,21/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,5
55,56,Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-22,22/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,4
56,57,Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-23,23/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,3
57,58,Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-24,24/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,2
58,59,Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-25,25/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,14:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,1
59,60,Cohuna,"Cohuna Football and Netball Club, Cohuna Recreation Reserve ",Island Road,VIC,3568,2021-05-22,22/05/2021,12:00pm - 5:00pm,"Case watched multiple netball games, visited canteen (inside) and used outdoor public toilets",2021-05-26,26/05/2021,16:56:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,17:00:00,2,4
60,90,Seddon,Caprice Hair & Beauty,101 Charles Street,VIC,3011,2021-05-22,22/05/2021,1:15pm - 1:40pm,Case attended venue,2021-05-27,27/05/2021,15:30:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:15:00,13:40:00,1,5
61,61,Brunswick,"Barkly Square: Priceline, Kmart, Woolworths, OPSM","Barkly Square Shopping Centre, 90-160 Sydney Rd",VIC,3056,2021-05-22,22/05/2021,1:15pm - 2:30pm,"Case attended venue, walked around the centre and into some shops with limited purchases",2021-05-26,26/05/2021,16:56:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:15:00,14:30:00,2,4
62,62,Docklands,Marvel Stadium - (Level 1 Aisles 5-28 and Level 3 Aisles 6-29),740 Bourke St,VIC,3008,2021-05-23,23/05/2021,4:30pm - 7:30pm,Case attended facility ,2021-05-26,26/05/2021,18:08:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:30:00,19:30:00,2,3
63,63,Docklands,Marvel Stadium - all other zones not individually listed ,740 Bourke St,VIC,3008,2021-05-23,23/05/2021,4:30pm - 7:30pm,Case attended venue ,2021-05-26,26/05/2021,18:08:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",16:30:00,19:30:00,3,3
64,64,Bundoora,Anytime Fitness,"Shop TG-01, Uni Hill Town Centre, 1-3 Janefield Drive",VIC,3083,2021-05-23,23/05/2021,3:40pm - 5:30pm,Case attended venue ,2021-05-26,26/05/2021,18:53:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:40:00,17:30:00,1,3
65,65,Bundoora,Anytime Fitness,"Shop TG-01, Uni Hill Town Centre, 1-3 Janefield Drive",VIC,3083,2021-05-24,24/05/2021,4:50pm - 5:50pm,Case attended venue ,2021-05-26,26/05/2021,18:53:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:50:00,17:50:00,1,2
66,66,Southbank,Criniti's Southbank,645 Freshwater Place,VIC,3006,2021-05-23,23/05/2021,6:00pm - 9:30pm,Case attended venue ,2021-05-26,26/05/2021,18:53:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,21:30:00,1,3
67,67,South Melbourne,The Palace Hotel,505-507 City Road,VIC,3205,2021-05-21,21/05/2021,5:45pm - 6:45pm,Case attended venue,2021-05-26,26/05/2021,18:53:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,18:45:00,1,5
68,68,Coburg,Ritchies IGA Pentridge,1 Champ Street,VIC,3058,2021-05-24,24/05/2021,6:45pm - 7:25pm,Case attended venue,2021-05-26,26/05/2021,18:53:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:45:00,19:25:00,2,2
69,69,Port Melbourne,"The Local, Port Melbourne",22-24 Bay Street,VIC,3207,2021-05-21,21/05/2021,1:30pm - 3:30pm,Case dined inside venue,2021-05-26,26/05/2021,19:48:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:30:00,15:30:00,1,5
70,70,Fairfield,7-Eleven Fairfield East,324 Station street,VIC,3078,2021-05-23,23/05/2021,7:45pm - 8:00pm,Case attended venue,2021-05-26,26/05/2021,19:56:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",19:45:00,20:00:00,2,3
71,71,Coburg,IGA Coburg,12-20 Nicholson Street,VIC,3058,2021-05-22,22/05/2021,2:30pm - 2:50pm,Case attended venue,2021-05-26,26/05/2021,21:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:30:00,14:50:00,2,4
72,72,Red Hill,Nordie Cafe,1008 Mornington-Flinders Road,VIC,3937,2021-05-22,22/05/2021,9:09am - 9:34am,Case attended venue,2021-05-26,26/05/2021,21:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:09:00,09:34:00,1,4
73,73,Carnegie,Bicycle Superstore,1030 Dandenong Road,VIC,3163,2021-05-23,23/05/2021,3:33pm - 4:00pm,Case attended venue,2021-05-26,26/05/2021,21:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:33:00,16:00:00,1,3
74,74,Parkville,Melbourne Swordcraft,"Ransford Oval, Park Street",VIC,3052,2021-05-21,21/05/2021,5:45pm - 10:30pm,Case attended venue,2021-05-26,26/05/2021,22:18:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,22:30:00,1,5
75,75,Mordialloc,The Sporting Globe Mordialloc,590 Main Street,VIC,3195,2021-05-23,23/05/2021,6:17pm - 9:43pm,Case attended venue,2021-05-26,26/05/2021,22:24:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:17:00,21:43:00,1,3
76,76,Burwood East,Burwood Teppanyaki House,145 Burwood Highway,VIC,3151,2021-05-22,22/05/2021,7:30pm - 9:40pm,Case attended venue,2021-05-26,26/05/2021,22:24:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:30:00,21:40:00,1,4
77,77,Bayswater North,Mcdonalds Bayswater North,296 Canterbury Road,VIC,3153,2021-05-21,21/05/2021,11:00pm - 12:00am,Case dined in restaurant ,2021-05-26,26/05/2021,22:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,23:00:00,00:00:00,1,5
78,78,Wantirna South,Insportz Knox,108 Lewis Road,VIC,3152,2021-05-20,20/05/2021,6:30pm - 8:30pm,Case attended venue,2021-05-26,26/05/2021,22:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:30:00,20:30:00,1,6
79,79,Mill Park,"Degani, Westfield Plenty Valley",415 Mcdonalds Road,VIC,3082,2021-05-23,23/05/2021,11:30am - 2:00pm,Case attended venue,2021-05-26,26/05/2021,23:08:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:30:00,14:00:00,1,3
80,80,Doncaster,Betty's Burgers & Concrete Co. (Westfield Doncaster) ,"Tenancy R1 & R2, Level 2, 619 Doncaster Road",VIC,3108,2021-05-23,23/05/2021,7:40pm - 9:30pm,Case attended venue,2021-05-27,27/05/2021,12:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:40:00,21:30:00,1,4
81,81,Lalor,Everfresh Fruit Market,346 Station Street,VIC,3075,2021-05-14,14/05/2021,11:30am - 12:30pm,Case attended venue,2021-05-27,27/05/2021,12:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",11:30:00,12:30:00,2,13
82,82,Lalor,Fruits of Lalor,328 Station Street,VIC,3075,2021-05-14,14/05/2021,11:30am - 12:30pm,Case attended venue,2021-05-27,27/05/2021,12:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",11:30:00,12:30:00,2,13
83,91,South Melbourne,Anytime Fitness South Melbourne,63-69 Market Street,VIC,3205,2021-05-20,20/05/2021,6:15am - 7:15am,Case attended venue,2021-05-27,27/05/2021,15:30:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:15:00,07:15:00,1,7
84,83,Lalor,No. 1 Fruit Market,37 May Road,VIC,3075,2021-05-14,14/05/2021,11:30am - 12:30pm,Case attended venue,2021-05-27,27/05/2021,12:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",11:30:00,12:30:00,2,13
